ts,equity
2026-01-06T12:50:00+00:00,7999999.01
2026-01-06T12:55:00+00:00,7999999.01
2026-01-06T13:00:00+00:00,7999999.01
2026-01-06T13:05:00+00:00,7999999.01
2026-01-06T13:10:00+00:00,7999999.01
2026-01-06T13:15:00+00:00,7999999.01
2026-01-06T13:20:00+00:00,7999999.01
2026-01-06T13:25:00+00:00,7999999.01
2026-01-06T13:30:00+00:00,7999999.01
2026-01-06T13:35:00+00:00,7999999.01
2026-01-06T13:40:00+00:00,7999999.01
2026-01-06T13:45:00+00:00,7999999.01
2026-01-06T13:50:00+00:00,7999999.01
2026-01-06T13:55:00+00:00,7999999.01
2026-01-06T14:00:00+00:00,7999999.01
2026-01-06T14:05:00+00:00,7999999.01
2026-01-06T14:10:00+00:00,7999999.22
2026-01-06T14:15:00+00:00,7999999.36
2026-01-06T14:20:00+00:00,7999999.29
2026-01-06T14:25:00+00:00,7999999.42
2026-01-06T14:30:00+00:00,7999999.42
2026-01-06T14:35:00+00:00,7999999.42
2026-01-06T14:40:00+00:00,7999999.42
2026-01-06T14:45:00+00:00,7999999.42
2026-01-06T14:50:00+00:00,7999999.42
2026-01-06T14:55:00+00:00,7999999.42
2026-01-06T15:00:00+00:00,7999999.42
2026-01-06T15:05:00+00:00,7999999.42
2026-01-06T15:10:00+00:00,7999999.42
2026-01-06T15:15:00+00:00,7999999.42
2026-01-06T15:20:00+00:00,7999999.42
2026-01-06T15:25:00+00:00,7999999.42
2026-01-06T15:30:00+00:00,7999999.42
2026-01-06T15:35:00+00:00,7999999.42
2026-01-06T15:40:00+00:00,7999999.42
2026-01-06T15:45:00+00:00,7999999.42
2026-01-06T16:05:00+00:00,7999999.42
2026-01-06T16:10:00+00:00,7999999.42
2026-01-06T16:15:00+00:00,7999999.42
2026-01-06T16:20:00+00:00,7999999.42
2026-01-06T16:25:00+00:00,7999999.42
2026-01-06T16:30:00+00:00,7999999.42
2026-01-06T16:35:00+00:00,7999999.42
2026-01-06T16:40:00+00:00,7999999.42
2026-01-06T16:45:00+00:00,7999999.42
2026-01-06T16:50:00+00:00,7999999.42
2026-01-06T16:55:00+00:00,7999999.42
2026-01-06T17:00:00+00:00,7999999.42
2026-01-06T17:05:00+00:00,7999999.42
2026-01-06T17:10:00+00:00,7999999.42
2026-01-06T17:15:00+00:00,7999999.42
2026-01-06T17:20:00+00:00,7999999.42
2026-01-06T17:25:00+00:00,7999999.42
2026-01-06T17:30:00+00:00,7999999.42
2026-01-06T17:35:00+00:00,7999999.42
2026-01-06T17:40:00+00:00,7999999.42
2026-01-06T17:45:00+00:00,7999999.42
2026-01-06T17:50:00+00:00,7999999.42
2026-01-06T17:55:00+00:00,7999999.42
2026-01-06T18:00:00+00:00,7999999.42
2026-01-06T18:05:00+00:00,7999999.42
2026-01-06T18:10:00+00:00,7999999.42
2026-01-06T18:15:00+00:00,7999999.42
2026-01-06T18:20:00+00:00,7999999.42
2026-01-06T18:25:00+00:00,7999999.42
2026-01-06T18:30:00+00:00,7999999.42
2026-01-06T18:35:00+00:00,7999999.42
2026-01-06T18:40:00+00:00,7999999.42
2026-01-06T18:45:00+00:00,7999999.42
2026-01-06T18:50:00+00:00,7999999.42
2026-01-06T18:55:00+00:00,7999999.42
2026-01-06T19:00:00+00:00,7999999.42
2026-01-06T19:05:00+00:00,7999999.42
2026-01-06T19:10:00+00:00,7999999.42
2026-01-06T19:15:00+00:00,7999999.42
2026-01-06T19:20:00+00:00,7999999.42
2026-01-06T19:25:00+00:00,7999999.42
2026-01-06T19:30:00+00:00,7999999.42
2026-01-06T19:35:00+00:00,7999999.42
2026-01-06T19:40:00+00:00,7999999.42
2026-01-06T19:45:00+00:00,7999999.42
2026-01-06T19:50:00+00:00,7999999.42
2026-01-06T19:55:00+00:00,7999999.42
2026-01-06T20:00:00+00:00,7999999.42
2026-01-06T20:05:00+00:00,7999999.42
2026-01-06T20:10:00+00:00,7999999.42
2026-01-06T20:15:00+00:00,7999999.42
2026-01-06T20:20:00+00:00,7999999.42
2026-01-06T20:25:00+00:00,7999999.42
2026-01-06T20:30:00+00:00,7999999.42
2026-01-06T20:35:00+00:00,7999999.42
2026-01-06T20:40:00+00:00,7999999.42
2026-01-06T20:45:00+00:00,7999999.42
2026-01-08T05:55:00+00:00,7999999.42
2026-01-08T06:00:00+00:00,7999999.42
2026-01-08T06:05:00+00:00,7999999.42
2026-01-08T06:10:00+00:00,7999999.42
2026-01-08T06:15:00+00:00,7999999.42
2026-01-08T06:20:00+00:00,7999999.42
2026-01-08T06:25:00+00:00,7999999.42
2026-01-08T06:30:00+00:00,7999999.42
2026-01-08T06:35:00+00:00,7999999.42
2026-01-08T06:40:00+00:00,7999999.42
2026-01-08T06:45:00+00:00,7999999.42
2026-01-08T06:50:00+00:00,7999999.42
2026-01-08T06:55:00+00:00,7999999.42
2026-01-08T07:00:00+00:00,7999999.42
2026-01-08T07:05:00+00:00,7999999.42
2026-01-08T07:10:00+00:00,7999999.42
2026-01-08T07:15:00+00:00,7999999.42
